,time,open,high,low,close,tick_volume,spread,real_volume
0,2023-11-22,36791.32,37867.31,35599.45,37606.64,177008,0,0
1,2023-11-23,37570.83,37759.43,36865.35,37248.93,159111,0,0
2,2023-11-24,37187.47,38442.37,37187.47,37839.31,163687,0,0
3,2023-11-25,37713.67,37912.1,37583.87,37825.59,113271,680,0
4,2023-11-26,37748.01,37846.85,37130.81,37647.83,108765,762,0
5,2023-11-27,37698.23,37780.12,36714.06,37026.87,159363,536,0
6,2023-11-28,36978.74,38409.87,36875.67,37990.09,168997,522,0
7,2023-11-29,37912.08,38498.12,37568.97,37716.12,153688,0,0
8,2023-11-30,37691.28,38148.07,37469.05,37737.12,125173,0,0
9,2023-12-01,37739.7,39002.55,37603.45,38852.05,153328,0,0
10,2023-12-02,38721.69,39768.14,38656.12,39603.26,119695,525,0
11,2023-12-03,39510.51,39849.87,39282.37,39719.84,120837,290,0
12,2023-12-04,39750.59,42159.87,39742.29,42030.15,195827,0,0
13,2023-12-05,41895.55,44219.19,41371.01,44029.71,194924,0,0
14,2023-12-06,43804.02,44503.63,43333.48,43801.27,195128,0,0
15,2023-12-07,43849.58,44051.39,42829.54,43374.36,194313,124,0
16,2023-12-08,43381.7,44754.62,43075.43,44376.02,184667,0,0
17,2023-12-09,44417.18,44420.28,43725.27,43995.12,119721,732,0
18,2023-12-10,43937.25,44057.62,43574.28,43797.77,146386,175,0
19,2023-12-11,43802.04,43895.39,40153.27,41054.67,203974,0,0
20,2023-12-12,41129.51,42084.35,40631.59,41042.29,197250,0,0
21,2023-12-13,41163.58,43183.48,40508.53,42931.88,179589,0,0
22,2023-12-14,43051.37,43506.87,41546.36,42962.73,182393,0,0
23,2023-12-15,42930.93,43196.57,41636.45,42185.3,155647,0,0
24,2023-12-16,42129.95,42681.02,41607.97,42268.16,78891,360,0
25,2023-12-17,42208.75,42368.87,41482.08,41892.33,145927,0,0
26,2023-12-18,41849.79,42740.37,40490.76,42588.97,180433,0,0
27,2023-12-19,42467.26,43458.37,41767.4,42443.53,170286,0,0
28,2023-12-20,42408.74,44303.87,42169.17,43427.24,166892,0,0
29,2023-12-21,43498.04,44262.26,43279.32,43995.37,189490,0,0
30,2023-12-22,43933.37,44439.42,43414.71,43760.18,180290,0,0
31,2023-12-23,43805.95,44081.62,43301.87,43782.68,141265,316,0
32,2023-12-24,43747.51,43971.37,43428.08,43519.35,157685,297,0
33,2023-12-25,43516.21,43810.37,42541.63,43529.46,165706,0,0
34,2023-12-26,43515.64,43732.37,41523.42,42320.57,169341,0,0
35,2023-12-27,42320.39,43554.95,42097.4,43361.52,141992,0,0
36,2023-12-28,43353.39,43821.61,42267.93,42412.54,188699,0,0
37,2023-12-29,42443.35,43147.77,41658.24,41906.16,172217,0,0
38,2023-12-30,41789.39,42605.37,41526.03,42301.12,154595,219,0
39,2023-12-31,42200.5,42863.37,41961.51,42490.37,150276,0,0
40,2024-01-01,42399.15,43841.25,42004.56,43606.3,175116,391,0
41,2024-01-02,43525.76,45944.88,43327.49,45048.87,212293,0,0
42,2024-01-03,45103.87,45524.32,40633.98,42899.96,211733,0,0
43,2024-01-04,42816.82,44751.53,42592.24,44442.84,212287,0,0
44,2024-01-05,44507.83,44795.56,42332.23,43845.51,191792,0,0
45,2024-01-06,43831.77,44347.87,43432.61,43928.87,136889,0,0
46,2024-01-07,43892.87,44492.99,43754.49,44246.37,132135,0,0
47,2024-01-08,44144.96,47317.0,43179.33,47105.06,179531,0,0
48,2024-01-09,46862.01,47932.01,44803.07,45559.01,182399,0,0
49,2024-01-10,45413.25,46713.51,44322.71,45888.04,179980,0,0
50,2024-01-11,45743.14,49048.7,45525.05,46155.21,149388,0,0
51,2024-01-12,46167.01,46522.85,43132.55,43445.91,189092,0,0
52,2024-01-13,42806.05,43252.83,42406.96,42962.74,173778,0,0
53,2024-01-14,42989.7,43056.84,41924.5,42460.75,134394,0,0
54,2024-01-15,42488.17,43317.05,41669.71,42694.62,171499,0,0
55,2024-01-16,42587.78,43556.32,42016.56,43370.81,168522,0,0
56,2024-01-17,43379.88,43429.0,42162.82,42646.41,139803,0,0
57,2024-01-18,42572.94,42875.47,40591.07,41064.92,137217,0,0
58,2024-01-19,41098.3,42149.4,40228.0,41632.37,148118,0,0
59,2024-01-20,41620.68,41831.31,41408.92,41694.66,62678,0,0
60,2024-01-21,41658.51,41848.84,41505.25,41743.42,47966,0,0
61,2024-01-22,41712.44,41749.54,39365.82,39792.2,142511,0,0
62,2024-01-23,39688.54,40143.44,38504.31,39203.3,154098,0,0
63,2024-01-24,39159.36,40524.26,39159.36,39748.69,134308,0,0
64,2024-01-25,39683.64,40284.64,39510.8,39905.35,127700,0,0
65,2024-01-26,39875.83,42227.61,39793.1,41973.95,116173,0,0
66,2024-01-27,41843.83,42161.53,41384.1,42127.32,65589,340,0
67,2024-01-28,42148.33,42847.93,41675.38,41976.63,95959,0,0
68,2024-01-29,41828.47,43312.45,41593.81,43200.05,114787,0,0
69,2024-01-30,43138.12,43855.08,43073.48,43531.09,125631,0,0
70,2024-01-31,43507.67,43742.87,42256.25,42405.02,151960,0,0
71,2024-02-01,42391.17,43274.13,41835.03,43115.07,149553,0,0
72,2024-02-02,42957.95,43465.9,42530.12,42982.41,127140,0,0
73,2024-02-03,43168.99,43353.47,42864.89,43027.43,90717,0,0
74,2024-02-04,43008.51,43090.85,42509.65,42747.22,100314,236,0
75,2024-02-05,42785.56,43509.91,42140.7,42343.75,119674,50,0
76,2024-02-06,42288.96,43360.57,42288.96,43170.74,105746,128,0
77,2024-02-07,43092.07,44395.65,42752.56,44183.51,113083,0,0
78,2024-02-08,44134.11,45617.25,44121.29,45351.85,132090,0,0
79,2024-02-09,45360.45,48216.01,45211.56,47547.56,165291,0,0
80,2024-02-10,47245.14,48190.66,46877.21,47940.27,97169,0,0
81,2024-02-11,47910.73,48605.95,47582.45,48094.85,134955,21,0
82,2024-02-12,48098.38,50374.41,47710.99,49861.83,155636,0,0
83,2024-02-13,49925.49,50416.21,48308.52,49529.51,156409,131,0
84,2024-02-14,49499.6,52091.74,49256.58,51784.54,165232,0,0
85,2024-02-15,51703.65,52866.49,51369.83,51415.79,170003,0,0
86,2024-02-16,51478.84,52600.31,51390.61,51993.04,134909,0,0
87,2024-02-17,51939.62,52252.66,50641.75,51830.94,91375,0,0
88,2024-02-18,51690.94,52094.07,51174.76,51878.76,98726,0,0
89,2024-02-19,51884.74,52497.69,51666.35,51883.46,138422,339,0
90,2024-02-20,51898.42,53020.96,50744.7,52066.01,146685,0,0
91,2024-02-21,51994.6,52545.43,50583.64,51374.5,151425,0,0
92,2024-02-22,51272.47,52057.66,50910.31,51607.53,134241,146,0
93,2024-02-23,51594.57,51684.91,50618.41,51012.74,133690,0,0
94,2024-02-24,50729.01,51688.37,50476.67,51572.21,71378,397,0
95,2024-02-25,51616.01,51966.88,51261.58,51773.72,86066,794,0
96,2024-02-26,51726.56,54962.88,50898.16,54637.58,133236,0,0
97,2024-02-27,54614.9,57622.08,54482.63,56669.24,179345,0,0
98,2024-02-28,56721.81,64212.35,56662.28,60524.45,193558,0,0
99,2024-02-29,60702.01,63672.81,60354.69,61449.51,204163,0,0
100,2024-03-01,61229.01,63232.09,60728.12,62641.56,144161,0,0
101,2024-03-02,62385.46,62508.56,61636.83,61979.74,109316,0,0
102,2024-03-03,61908.81,63040.87,61373.1,62852.63,116275,0,0
